Name,Rating,City,Latitude,Longitude,Opening Hours
Le Comptoir de la Gastronomie,4.5,Paris,48.86455280000001,2.345431,"Monday: 9:00AM - 7:00PM, Tuesday: 9:00AM - 10:30PM, Wednesday: 9:00AM - 10:30PM, Thursday: 9:00AM - 10:30PM, Friday: 9:00AM - 10:30PM, Saturday: 9:00AM - 10:30PM, Sunday: Closed"
Bistro des Augustins,4.4,Paris,48.8546972,2.3420468,"Monday: 11:30AM - 1:00AM, Tuesday: 11:30AM - 1:00AM, Wednesday: 11:30AM - 1:00AM, Thursday: 11:30AM - 1:00AM, Friday: 11:30AM - 1:00AM, Saturday: 11:30AM - 1:00AM, Sunday: 11:30AM - 1:00AM"
Brasserie Bellanger,4.9,Paris,48.8809206,2.3500288,"Monday: 9:00AM - 12:00AM, Tuesday: 9:00AM - 12:00AM, Wednesday: 9:00AM - 12:00AM, Thursday: 9:00AM - 12:00AM, Friday: 9:00AM - 12:30AM, Saturday: 9:00AM - 12:30AM, Sunday: 9:00AM - 12:00AM"
Les Antiquaires,4.4,Paris,48.8586582,2.3288088,"Monday: 7:00AM - 2:00AM, Tuesday: 7:00AM - 2:00AM, Wednesday: 7:00AM - 2:00AM, Thursday: 7:00AM - 2:00AM, Friday: 7:00AM - 2:00AM, Saturday: 7:00AM - 2:00AM, Sunday: 7:00AM - 2:00AM"
Angelina,4.0,Paris,-33.8211769,18.5100471,"Monday: 9:30AM - 4:30PM, Tuesday: 9:30AM - 4:30AM, Wednesday: 9:30AM - 4:00AM, Thursday: 9:30AM - 4:30PM, Friday: 9:30AM - 4:30PM, Saturday: Closed, Sunday: Closed"
La Fontaine de Mars,4.3,Paris,48.8583982,2.3025519,"Monday: 12:00 - 3:00PM, 7:15 - 11:00PM, Tuesday: 12:00 - 3:00PM, 7:30 - 11:00PM, Wednesday: 12:00 - 3:00PM, 7:30 - 11:00PM, Thursday: 12:00 - 3:00PM, 7:30 - 11:00PM, Friday: 12:00 - 3:00PM, 7:15 - 11:00PM, Saturday: 12:00 - 3:00PM, 7:15 - 11:00PM, Sunday: 12:00 - 3:00PM, 7:15 - 11:00PM"
Baguett’s Café,4.5,Paris,48.8652825,2.336524599999999,"Monday: 8:30AM - 4:00PM, Tuesday: 8:30AM - 4:00PM, Wednesday: 8:30AM - 4:00PM, Thursday: 8:30AM - 4:00PM, Friday: 8:30AM - 4:00PM, Saturday: 9:00AM - 6:00PM, Sunday: 9:00AM - 6:00PM"
L’As du Fallafel,4.3,Paris,48.85740670000001,2.3591962,"Monday: 11:00AM - 11:00PM, Tuesday: 11:00AM - 11:00PM, Wednesday: 11:00AM - 11:00PM, Thursday: 11:00AM - 11:00PM, Friday: 11:00AM - 3:00PM, Saturday: Closed, Sunday: Closed"
Sanukiya,4.5,Paris,48.864718,2.333787,"Monday: 11:30AM - 10:00PM, Tuesday: 11:30AM - 10:00PM, Wednesday: 11:30AM - 10:00PM, Thursday: 11:30AM - 10:00PM, Friday: 11:30AM - 10:00PM, Saturday: 11:30AM - 10:00PM, Sunday: 11:30AM - 10:00PM"
Café Blanc,4.4,Paris,-33.881802,18.4875065,"Monday: 7:00AM - 11:00PM, Tuesday: 7:00AM - 11:00PM, Wednesday: 7:00AM - 11:00PM, Thursday: 7:00AM - 11:00PM, Friday: 7:00AM - 12:00AM, Saturday: 7:00AM - 12:00AM, Sunday: 7:00AM - 11:00PM"
La Jacobine,4.5,Paris,48.8533819,2.3389252,"Monday: Closed, Tuesday: 12:00 - 10:30PM, Wednesday: 12:00 - 10:30PM, Thursday: 12:00 - 10:30PM, Friday: 12:00 - 10:30PM, Saturday: 12:00 - 10:30PM, Sunday: 12:00 - 10:30PM"
Victoires,4.0,Paris,48.8657135,2.341196499999999,
Café de Paris,3.9,Paris,48.853945,2.337614000000001,"Monday: 8:00AM - 2:00AM, Tuesday: 8:00AM - 2:00AM, Wednesday: 8:00AM - 2:00AM, Thursday: 8:00AM - 2:00AM, Friday: 8:00AM - 2:00AM, Saturday: 8:00AM - 2:00AM, Sunday: 8:00AM - 2:00AM"
Au Petit Village,4.9,Paris,48.8332802,2.356205000000001,"Monday: 9:00AM - 3:30PM, 6:00 - 11:00PM, Tuesday: 9:00AM - 3:30PM, 6:00 - 11:00PM, Wednesday: 9:00AM - 3:30PM, 6:00 - 11:00PM, Thursday: 9:00AM - 3:30PM, 6:00 - 11:00PM, Friday: 9:00AM - 3:30PM, 6:00 - 11:00PM, Saturday: 9:00AM - 3:30PM, 6:00 - 11:00PM, Sunday: Closed"
Le Corner Saint Germain,4.6,Paris,48.8512902,2.344367999999999,"Monday: 9:00AM - 12:00AM, Tuesday: 9:00AM - 12:00AM, Wednesday: 9:00AM - 12:00AM, Thursday: 9:00AM - 12:00AM, Friday: 9:00AM - 12:00AM, Saturday: 9:00AM - 12:00AM, Sunday: 9:00AM - 12:00AM"
Le Bistrot des Vosges,4.3,Paris,48.8557294,2.3682196,"Monday: 12:00 - 10:00PM, Tuesday: 12:00 - 10:00PM, Wednesday: 12:00 - 10:00PM, Thursday: 12:00 - 10:00PM, Friday: 12:00 - 10:00PM, Saturday: 12:00 - 10:00PM, Sunday: 12:00 - 10:00PM"
L’Escargot,3.8,Paris,51.5139706,-0.1309972,"Monday: Closed, Tuesday: 12:00 - 3:00PM, 5:00 - 10:30PM, Wednesday: 12:00 - 3:00PM, 5:00 - 10:30PM, Thursday: 12:00 - 3:00PM, 5:00 - 10:30PM, Friday: 12:00 - 3:00PM, 5:00 - 10:30PM, Saturday: 12:00 - 3:00PM, 5:00 - 10:30PM, Sunday: 12:00 - 4:00PM"
Le Pas Sage,4.3,Paris,-34.92349920000001,138.6064599,"Monday: 8:00AM - 12:00AM, Tuesday: 8:00AM - 12:00AM, Wednesday: 8:00AM - 12:00AM, Thursday: 8:00AM - 12:00AM, Friday: 8:00AM - 12:00AM, Saturday: 9:00AM - 12:00AM, Sunday: Closed"
La Coïncidence,4.5,Paris,,,N/A
Les Artizans,4.7,Paris,48.86376859999999,2.3465503,"Monday: 12:00 - 10:30PM, Tuesday: 12:00 - 10:30PM, Wednesday: 12:00 - 10:30PM, Thursday: 12:00 - 10:30PM, Friday: 12:00 - 10:30PM, Saturday: 11:30AM - 10:30PM, Sunday: 11:30AM - 10:30PM"
La Cordonnerie,4.7,Paris,48.8652332,2.3505363,"Monday: 4:00PM - 2:00AM, Tuesday: 4:00PM - 2:00AM, Wednesday: 4:00PM - 2:00AM, Thursday: 4:00PM - 2:00AM, Friday: 4:00PM - 2:00AM, Saturday: 4:00PM - 2:00AM, Sunday: 4:00PM - 2:00AM"
Sacré Frenchy !,4.7,Paris,48.8632396,2.3511546,"Monday: Closed, Tuesday: 11:30AM - 2:00AM, Wednesday: 11:30AM - 2:00AM, Thursday: 11:30AM - 2:00AM, Friday: 11:30AM - 2:00AM, Saturday: 10:00AM - 2:00AM, Sunday: 11:45AM - 10:30PM"
